       Year,             Service,   Severity,
          0,   BiologicalService,          1,
          0,       SocialService,          1,
          1,    TechnicalService,          1,
          1,    EmergencyService,          5,
          1,       SocialService,          0,
          2,      MedicalService,          3,
          2,       SocialService,          5,
          3,   BiologicalService,          1,
          3,      MedicalService,          0,
          3,   NavigationService,          0,
          3,    EmergencyService,          0,
          3,       SocialService,          0,
          4,   BiologicalService,          2,
          4,   NavigationService,          0,
          5,   NavigationService,          1,
          6,    TechnicalService,          0,
          6,    EmergencyService,          1,
          8,   NavigationService,          3,
          8,    EmergencyService,          0,
          8,       SocialService,          1,
          9,   NavigationService,          1,
          9,    EmergencyService,          0,
         10,      MedicalService,          0,
         11,    TechnicalService,          1,
         11,   BiologicalService,          1,
         11,   NavigationService,          3,
         12,   NavigationService,          2,
         13,      MedicalService,          3,
         13,    EmergencyService,          1,
         15,    TechnicalService,          1,
         15,   BiologicalService,          1,
         16,   NavigationService,          0,
         16,    EmergencyService,          1,
         16,       SocialService,          1,
         18,    TechnicalService,          1,
         18,      MedicalService,          0,
         18,   NavigationService,          0,
         18,       SocialService,          0,
         19,   NavigationService,          1,
         20,   BiologicalService,          0,
         20,      MedicalService,          0,
         20,   NavigationService,          0,
         21,      MedicalService,          1,
         21,   NavigationService,          2,
         21,    EmergencyService,          0,
         22,      MedicalService,          1,
         22,   NavigationService,          0,
         22,    EmergencyService,          0,
         22,       SocialService,          1,
         23,    TechnicalService,          0,
         23,   NavigationService,          4,
         23,       SocialService,          2,
         24,   NavigationService,          0,
         25,    TechnicalService,          1,
         25,   NavigationService,          0,
         25,    EmergencyService,          0,
         26,      MedicalService,          0,
         27,   NavigationService,          1,
         27,    EmergencyService,          0,
         28,    TechnicalService,          0,
         28,      MedicalService,          0,
         28,   NavigationService,          2,
         29,    TechnicalService,          1,
         29,   BiologicalService,          1,
         29,      MedicalService,          5,
         29,   NavigationService,          3,
         29,    EmergencyService,          2,
         30,    TechnicalService,          0,
         30,   NavigationService,          0,
         30,       SocialService,          4,
         31,   NavigationService,          5,
         32,   NavigationService,          3,
         32,       SocialService,          0,
         33,    TechnicalService,          0,
         33,   NavigationService,          5,
         34,    TechnicalService,          0,
         34,   NavigationService,          4,
         34,    EmergencyService,          0,
         35,   BiologicalService,          0,
         35,   NavigationService,          0,
         35,    EmergencyService,          0,
         36,       SocialService,          1,
         37,   NavigationService,          4,
         37,    EmergencyService,          3,
         38,      MedicalService,          1,
         38,   NavigationService,          1,
         38,    EmergencyService,          1,
         40,    TechnicalService,          1,
         40,   BiologicalService,          2,
         40,      MedicalService,          1,
         40,   NavigationService,          2,
         40,    EmergencyService,          2,
         41,    TechnicalService,          0,
         41,   BiologicalService,          1,
         41,      MedicalService,          0,
         41,   NavigationService,          0,
         41,    EmergencyService,          1,
         42,   BiologicalService,          0,
         42,      MedicalService,          0,
         42,   NavigationService,          1,
         43,   BiologicalService,          0,
         43,   NavigationService,          2,
         43,       SocialService,          0,
         44,    TechnicalService,          2,
         44,   NavigationService,          0,
         45,   BiologicalService,          0,
         45,   NavigationService,          1,
         46,    TechnicalService,          0,
         46,      MedicalService,          1,
         46,   NavigationService,          2,
         47,    TechnicalService,          5,
         47,   BiologicalService,          0,
         47,      MedicalService,          3,
         47,   NavigationService,          4,
         47,       SocialService,          0,
         48,    TechnicalService,          1,
         48,   NavigationService,          0,
         49,   NavigationService,          0,
         50,   BiologicalService,          0,
         50,   NavigationService,          0,
         50,    EmergencyService,          4,
         50,       SocialService,          4,
         51,   NavigationService,          0,
         51,    EmergencyService,          4,
         52,   NavigationService,          1,
         53,   NavigationService,          3,
         53,    EmergencyService,          0,
         53,       SocialService,          1,
         54,   NavigationService,          5,
         54,       SocialService,          1,
         55,    EmergencyService,          1,
         56,    TechnicalService,          0,
         56,   NavigationService,          1,
         57,    TechnicalService,          0,
         57,      MedicalService,          0,
         57,   NavigationService,          0,
         57,    EmergencyService,          1,
         57,       SocialService,          1,
         58,   NavigationService,          5,
         59,    TechnicalService,          0,
         59,   BiologicalService,          0,
         59,      MedicalService,          0,
         59,   NavigationService,          1,
         60,    TechnicalService,          0,
         60,   NavigationService,          2,
         60,    EmergencyService,          1,
         60,       SocialService,          0,
         61,   NavigationService,          0,
         61,    EmergencyService,          5,
         62,   NavigationService,          0,
         63,    TechnicalService,          2,
         63,   BiologicalService,          1,
         63,   NavigationService,          3,
         63,    EmergencyService,          1,
         63,       SocialService,          2,
         64,    TechnicalService,          1,
         64,   BiologicalService,          0,
         64,      MedicalService,          2,
         64,   NavigationService,          1,
         65,    TechnicalService,          4,
         65,      MedicalService,          0,
         65,   NavigationService,          4,
         65,    EmergencyService,          1,
         66,    TechnicalService,          2,
         66,   BiologicalService,          1,
         66,      MedicalService,          0,
         66,   NavigationService,          5,
         66,    EmergencyService,          4,
         67,   NavigationService,          1,
         67,    EmergencyService,          5,
         67,       SocialService,          2,
         68,    TechnicalService,          0,
         68,      MedicalService,          0,
         68,   NavigationService,          0,
         68,    EmergencyService,          0,
         68,       SocialService,          3,
         69,    TechnicalService,          5,
         69,   NavigationService,          0,
