       Year,             Service,   Severity,
          0,    EmergencyService,          1,
          0,       SocialService,          2,
          1,      MedicalService,          0,
          2,   BiologicalService,          4,
          2,    EmergencyService,          1,
          2,       SocialService,          0,
          3,   BiologicalService,          1,
          3,      MedicalService,          0,
          3,    EmergencyService,          0,
          4,   BiologicalService,          2,
          4,   NavigationService,          1,
          4,    EmergencyService,          5,
          5,    TechnicalService,          0,
          5,   NavigationService,          2,
          5,       SocialService,          1,
          6,       SocialService,          0,
          7,   BiologicalService,          1,
          7,   NavigationService,          0,
          7,    EmergencyService,          0,
          8,   NavigationService,          0,
          9,   BiologicalService,          1,
          9,      MedicalService,          0,
          9,   NavigationService,          0,
         10,   NavigationService,          0,
         11,   BiologicalService,          0,
         13,    EmergencyService,          0,
         14,    TechnicalService,          2,
         15,       SocialService,          4,
         16,       SocialService,          1,
         17,   NavigationService,          0,
         17,       SocialService,          5,
         18,      MedicalService,          0,
         20,    TechnicalService,          0,
         20,   BiologicalService,          0,
         21,   NavigationService,          0,
         22,   BiologicalService,          0,
         22,    EmergencyService,          1,
         23,    TechnicalService,          0,
         23,   BiologicalService,          0,
         23,    EmergencyService,          0,
         23,       SocialService,          2,
         24,   BiologicalService,          0,
         24,      MedicalService,          0,
         24,    EmergencyService,          0,
         25,   NavigationService,          1,
         25,    EmergencyService,          0,
         25,       SocialService,          0,
         26,    TechnicalService,          0,
         26,   NavigationService,          1,
         26,    EmergencyService,          1,
         26,       SocialService,          2,
         27,   BiologicalService,          0,
         27,       SocialService,          1,
         28,       SocialService,          1,
         31,    TechnicalService,          0,
         31,   BiologicalService,          0,
         32,    TechnicalService,          0,
         32,       SocialService,          1,
         33,    TechnicalService,          0,
         33,   BiologicalService,          0,
         33,      MedicalService,          2,
         34,    TechnicalService,          4,
         34,      MedicalService,          1,
         35,   BiologicalService,          2,
         35,       SocialService,          3,
         36,   BiologicalService,          5,
         36,   NavigationService,          1,
         37,    TechnicalService,          4,
         37,    EmergencyService,          0,
         38,   BiologicalService,          0,
         38,    EmergencyService,          0,
         38,       SocialService,          3,
         39,    TechnicalService,          2,
         39,   BiologicalService,          2,
         39,   NavigationService,          0,
         40,    EmergencyService,          0,
         41,    TechnicalService,          0,
         41,    EmergencyService,          0,
         42,    TechnicalService,          0,
         42,    EmergencyService,          0,
         43,      MedicalService,          0,
         43,   NavigationService,          0,
         44,    TechnicalService,          0,
         44,      MedicalService,          1,
         44,       SocialService,          1,
         45,    EmergencyService,          1,
         46,   BiologicalService,          0,
         46,       SocialService,          0,
         47,   BiologicalService,          0,
         50,   BiologicalService,          0,
         50,   NavigationService,          2,
         51,    TechnicalService,          3,
         51,      MedicalService,          2,
         51,   NavigationService,          0,
         52,   NavigationService,          1,
         52,    EmergencyService,          1,
         52,       SocialService,          1,
         53,    TechnicalService,          0,
         53,      MedicalService,          0,
         55,    TechnicalService,          5,
         55,   BiologicalService,          0,
         56,    EmergencyService,          0,
         57,   BiologicalService,          1,
         57,   NavigationService,          1,
         57,       SocialService,          0,
         58,   BiologicalService,          0,
         58,      MedicalService,          0,
         58,    EmergencyService,          0,
         59,   NavigationService,          0,
         59,       SocialService,          1,
         60,   BiologicalService,          1,
         61,    TechnicalService,          3,
         62,   NavigationService,          2,
         62,    EmergencyService,          0,
         64,    TechnicalService,          3,
         64,      MedicalService,          1,
         65,   NavigationService,          0,
         65,       SocialService,          1,
         66,    TechnicalService,          3,
         66,   BiologicalService,          1,
         66,   NavigationService,          1,
         68,    TechnicalService,          2,
         68,   NavigationService,          2,
         68,       SocialService,          1,
         70,    TechnicalService,          0,
         70,       SocialService,          3,
         71,    EmergencyService,          4,
         72,    TechnicalService,          2,
         72,      MedicalService,          1,
         72,   NavigationService,          2,
         73,    TechnicalService,          1,
         76,      MedicalService,          1,
         76,       SocialService,          1,
         77,      MedicalService,          0,
         78,      MedicalService,          0,
         79,       SocialService,          3,
         80,    TechnicalService,          2,
         80,    EmergencyService,          2,
         81,    EmergencyService,          0,
         81,       SocialService,          1,
         82,      MedicalService,          0,
         83,    TechnicalService,          1,
         83,   BiologicalService,          0,
         83,   NavigationService,          1,
         83,    EmergencyService,          0,
         84,   NavigationService,          2,
         84,    EmergencyService,          1,
         85,    TechnicalService,          0,
         85,    EmergencyService,          0,
         85,       SocialService,          0,
         86,    EmergencyService,          0,
         87,    TechnicalService,          1,
         87,      MedicalService,          4,
         87,    EmergencyService,          1,
         88,    TechnicalService,          0,
         89,   BiologicalService,          1,
         89,      MedicalService,          3,
         89,       SocialService,          2,
