Year, People, Children, Adults, Old, Workers, Unemployed, Disabled
0, 20000, 3000, 14000, 3000, 12600, 1400, 0
1, 19880, 2838, 13870, 3172, 12332, 1377, 161
2, 19806, 2700, 13779, 3327, 11997, 1621, 161
3, 19505, 2672, 13362, 3471, 236, 1650, 11476
4, 19596, 2576, 13341, 3679, 1188, 751, 11402
5, 19731, 2525, 13352, 3854, 542, 527, 12283
6, 19813, 2389, 13380, 4044, 595, 495, 12290
7, 19923, 2336, 13414, 4173, 588, 493, 12333
8, 19966, 2171, 13455, 4340, 357, 491, 12607
9, 19861, 2205, 13130, 4526, 315, 171, 12644
10, 19917, 2378, 12831, 4708, 0, 171, 12660
11, 20113, 2387, 12839, 4887, 123, 369, 12347
12, 20016, 2059, 12903, 5054, 268, 468, 12167
13, 19920, 2103, 12627, 5190, 273, 205, 12149
14, 19670, 2170, 12198, 5302, 46, 204, 11948
15, 19936, 2559, 11931, 5446, 0, 204, 11727
16, 19995, 2760, 11617, 5618, 0, 204, 11413
17, 20175, 3093, 11292, 5790, 0, 203, 11089
18, 20336, 3393, 10995, 5948, 0, 202, 10793
19, 20354, 3543, 10725, 6086, 0, 201, 10524
20, 20330, 3408, 10673, 6249, 141, 319, 10213
21, 20441, 3181, 10876, 6384, 287, 582, 10007
22, 20579, 3448, 10586, 6545, 434, 267, 9885
23, 20603, 3415, 10506, 6682, 301, 290, 9915
24, 20675, 3165, 10705, 6805, 304, 578, 9823
25, 20925, 3571, 10397, 6957, 481, 193, 9723
26, 20900, 3681, 10159, 7060, 233, 91, 9835
27, 20832, 3281, 10378, 7173, 164, 516, 9698
28, 21017, 3548, 10176, 7293, 468, 239, 9469
29, 21145, 3885, 9827, 7433, 317, 69, 9441
30, 21143, 4071, 9515, 7557, 216, 45, 9254
31, 21169, 3785, 9669, 7715, 228, 481, 8960
32, 21047, 3341, 9884, 7822, 546, 665, 8673
33, 21065, 3499, 9632, 7934, 757, 329, 8546
34, 21072, 3671, 9364, 8037, 610, 329, 8425
35, 21200, 3664, 9361, 8175, 839, 388, 8134
36, 21264, 3760, 9220, 8284, 967, 263, 7990
37, 21224, 3891, 9018, 8315, 1064, 202, 7752
38, 20960, 3850, 8909, 8201, 1108, 310, 7491
39, 20857, 3627, 9040, 8190, 1230, 532, 7278
40, 20613, 3795, 8716, 8102, 1510, 178, 7028
41, 20305, 3709, 8562, 8034, 1495, 294, 6773
42, 20116, 3289, 8851, 7976, 1665, 621, 6565
43, 20104, 3576, 8563, 7965, 2052, 181, 6330
44, 19916, 3608, 8309, 7999, 2070, 142, 6097
45, 19550, 3366, 8299, 7885, 2061, 384, 5854
46, 19446, 3050, 8493, 7903, 2229, 628, 5636
47, 19257, 3196, 8187, 7874, 2514, 188, 5485
48, 18911, 3164, 8044, 7703, 2317, 231, 5496
49, 18914, 3187, 8110, 7617, 2251, 320, 5539
50, 18737, 3439, 7830, 7468, 2029, 154, 5647
51, 18565, 3369, 7851, 7345, 1772, 208, 5871
52, 18385, 2959, 8208, 7218, 1515, 580, 6113
53, 18254, 3121, 8036, 7097, 1451, 239, 6346
54, 18039, 2943, 8104, 6992, 1134, 317, 6653
55, 17914, 2857, 8175, 6882, 1042, 323, 6810
56, 17711, 2735, 8212, 6764, 943, 308, 6961
57, 17528, 2493, 8383, 6652, 933, 429, 7021
58, 17341, 2586, 8190, 6565, 989, 167, 7034
59, 17330, 2727, 8120, 6483, 910, 162, 7048
60, 17135, 2392, 8356, 6387, 876, 449, 7031
61, 17080, 2321, 8479, 6280, 1017, 470, 6992
62, 16950, 2509, 8241, 6200, 1015, 203, 7023
63, 16716, 2585, 8016, 6115, 778, 203, 7035
64, 16758, 2736, 8008, 6014, 836, 204, 6968
65, 16512, 2386, 8228, 5898, 820, 490, 6918
66, 16283, 2462, 8072, 5749, 934, 274, 6864
67, 16204, 2422, 8050, 5732, 983, 343, 6724
68, 16099, 2600, 7822, 5677, 998, 197, 6627
69, 16015, 2699, 7648, 5668, 907, 171, 6570
70, 15953, 2659, 7645, 5649, 883, 280, 6482
71, 15775, 2570, 7574, 5631, 894, 325, 6355
72, 15641, 2741, 7347, 5553, 868, 98, 6381
73, 15441, 2926, 7230, 5285, 626, 94, 6510
74, 15293, 2819, 7275, 5199, 655, 221, 6399
75, 15188, 2665, 7356, 5167, 707, 384, 6265
76, 14944, 2793, 7226, 4925, 858, 116, 6252
77, 14841, 2960, 7161, 4720, 774, 66, 6321
78, 14811, 2890, 7352, 4569, 756, 283, 6313
79, 14675, 2743, 7347, 4585, 886, 347, 6114
80, 14510, 2883, 7113, 4514, 1015, 106, 5992
81, 14418, 2760, 7071, 4587, 981, 320, 5770
82, 14169, 2665, 6938, 4566, 1148, 252, 5538
83, 13935, 2730, 6746, 4459, 1214, 78, 5454
84, 13912, 2707, 6786, 4419, 1160, 236, 5390
85, 13840, 2342, 7034, 4464, 1251, 553, 5230
86, 13811, 2567, 6738, 4506, 1453, 202, 5083
87, 13727, 2485, 6715, 4527, 1446, 244, 5025
88, 13751, 2564, 6603, 4584, 1466, 221, 4916
89, 13652, 2506, 6376, 4770, 1467, 238, 4671
90, 13598, 2470, 6416, 4712, 1460, 276, 4680
91, 13657, 2612, 6393, 4652, 1441, 170, 4782
92, 13610, 2498, 6342, 4770, 1232, 358, 4752
93, 13550, 2277, 6392, 4881, 1219, 462, 4711
94, 13436, 2382, 6196, 4858, 1180, 189, 4827
95, 13254, 2421, 6011, 4822, 843, 189, 4979
96, 13245, 2490, 6009, 4746, 809, 167, 5033
97, 13122, 2281, 6154, 4687, 707, 357, 5090
98, 13077, 2422, 5982, 4673, 739, 164, 5079
99, 12917, 2384, 5774, 4759, 628, 127, 5019
100, 12816, 2181, 5833, 4802, 567, 297, 4969
101, 12822, 2030, 5959, 4833, 653, 428, 4878
102, 12732, 2088, 5747, 4897, 646, 223, 4878
103, 12680, 2290, 5561, 4829, 412, 223, 4926
104, 12574, 2310, 5458, 4806, 491, 163, 4804
105, 12367, 2153, 5509, 4705, 413, 273, 4823
106, 12212, 2022, 5636, 4554, 531, 360, 4745
107, 12170, 2206, 5413, 4551, 538, 168, 4707
108, 12142, 2116, 5565, 4461, 457, 274, 4834
109, 12144, 2006, 5611, 4527, 520, 273, 4818
110, 12098, 2003, 5594, 4501, 525, 218, 4851
111, 12005, 1974, 5632, 4399, 489, 209, 4934
112, 11991, 1788, 5750, 4453, 469, 330, 4951
113, 12011, 1911, 5514, 4586, 521, 100, 4893
